brand,title,price,instalment/month,owner,mileage,depreciation,registered_date,remaining_coe,coe_years,coe_months
Mercedes,Mercedes Benz E220D Se Premium Auto,129999,1681,1,89000.0,23646,2017-09-29,52,4,4
Mitsubishi,Mitsubishi Attrage 1.2 Cvt,97800,835,2,11000.0,10485,2022-06-13,109,9,1
Mazda,Mazda Mazda3 4-Door Sedan 1.5L Sp.6Eat,35000,889,3,110190.0,15314,2015-06-25,25,2,1
Honda,Honda Vezel Hybrid 1.5X Auto,65800,950,3,83000.0,16300,2017-03-29,46,3,10
Honda,Honda Fit Hybrid 1.5 Auto,85800,825,1,62000.0,13224,2019-10-07,73,6,1
Honda,Honda Shuttle 1.5G Cvt Sensing,121800,1040,1,80.0,12595,2022-12-09,112,9,4
Toyota,Toyota Alphard Hybrid 2.5 Sr-C Package Cvt,338800,2891,1,500.0,30698,2023-03-05,119,9,11
Toyota,Toyota Yaris Cross 1.5G Cvt,148800,1270,1,88.0,14751,2023-08-03,117,9,9
Porsche,Porsche Boxster S 3.4 (A),118000,1407,6,,24527,2008-03-13,57,4,9
Nissan,Nissan Navara Np300 Double Cabin 4Wd (A),69800,1261,3,,13960,2013-06-26,0,0,0
Mercedes-Benz,Mercedes-Benz Vito Diesel 114 Cdi Eco Panel Van 'Long' [Euro Vi] (A),64800,728,3,,12453,2018-06-27,61,5,1
Bmw,Bmw X1 Sdrive18I (A) (Past Model),54800,807,2,107000.0,14400,2012-02-28,45,3,9
Nissan,Nissan Teana 2.5A,38800,1348,1,41000.0,15755,2014-08-12,18,1,6
Nissan,Nissan Navara Np300 Double Cabin 4Wd (A),69800,1261,3,,13960,2013-06-26,0,0,0
Suzuki,Suzuki Sx4 Sedan 1.6 (A),68800,588,3,145000.0,9530,2010-07-28,86,7,2
Bmw,Bmw X1 Sdrive18I (A),113800,1278,2,71582.0,18214,2018-06-22,61,5,1
Toyota,Toyota Harrier 2.0 Elegance [My18] (A),138800,1334,1,34968.0,19660,2019-11-07,73,6,1
Jaguar,Jaguar Xf 2.0P 250Ps Rwd,239800,2047,1,9000.0,24347,2022-02-28,105,8,9
Audi,Audi Q5 2.0 Tfsi Qu S Tronic Sport (A),161800,1612,1,39000.0,22837,2019-03-22,70,5,10
Bmw,Bmw 1 Series Hatchback 116D (A),44500,983,3,141000.0,15809,2015-10-19,29,2,5
Honda,Honda Freed Hybrid 1.5 (A),24200,760,3,144000.0,14133,2010-01-25,20,1,8
Mercedes-Benz,Mercedes-Benz Glc-Class Glc63 S Amg 4Matic+ (A),368000,3141,1,39000.0,42735,2019-02-16,91,7,7
Audi,Audi A6 2.0 Tfsi (A),28800,905,1,,16712,2010-01-29,20,1,8
Mercedes,Mercedes Benz E220D Se Premium Auto,129999,1681,1,89000.0,23646,2017-09-29,52,4,4
Mitsubishi,Mitsubishi Attrage 1.2 Cvt,97800,835,2,11000.0,10485,2022-06-13,109,9,1
Mazda,Mazda Mazda3 4-Door Sedan 1.5L Sp.6Eat,35000,889,3,110190.0,15314,2015-06-25,25,2,1
Honda,Honda Vezel Hybrid 1.5X Auto,65800,950,3,83000.0,16300,2017-03-29,46,3,10
Honda,Honda Fit Hybrid 1.5 Auto,85800,825,1,62000.0,13224,2019-10-07,73,6,1
Honda,Honda Shuttle 1.5G Cvt Sensing,121800,1040,1,80.0,12595,2022-12-09,112,9,4
Toyota,Toyota Alphard Hybrid 2.5 Sr-C Package Cvt,338800,2891,1,500.0,30698,2023-03-05,119,9,11
Toyota,Toyota Yaris Cross 1.5G Cvt,148800,1270,1,88.0,14751,2023-08-03,117,9,9
Porsche,Porsche Boxster S 3.4 (A),118000,1407,6,,24527,2008-03-13,57,4,9
Nissan,Nissan Navara Np300 Double Cabin 4Wd (A),69800,1261,3,,13960,2013-06-26,0,0,0
Mercedes-Benz,Mercedes-Benz Vito Diesel 114 Cdi Eco Panel Van 'Long' [Euro Vi] (A),64800,728,3,,12453,2018-06-27,61,5,1
Bmw,Bmw X1 Sdrive18I (A) (Past Model),54800,807,2,107000.0,14400,2012-02-28,45,3,9
Nissan,Nissan Teana 2.5A,38800,1348,1,41000.0,15755,2014-08-12,18,1,6
Nissan,Nissan Navara Np300 Double Cabin 4Wd (A),69800,1261,3,,13960,2013-06-26,0,0,0
Suzuki,Suzuki Sx4 Sedan 1.6 (A),68800,588,3,145000.0,9530,2010-07-28,86,7,2
Bmw,Bmw X1 Sdrive18I (A),113800,1278,2,71582.0,18214,2018-06-22,61,5,1
